date,reaction_type
2025-11-06,lazy
2025-11-06,rest
2025-11-06,rest
2025-11-06,lazy
2025-11-06,lazy
2025-11-06,lazy
2025-11-06,lazy
2025-11-06,rest
2025-11-06,lazy
2025-11-06,lazy
2025-11-06,lazy
2025-11-06,push
2025-11-06,push
2025-11-06,great
2025-11-07,lazy
2025-11-07,lazy
2025-11-07,lazy
2025-11-07,rest
2025-11-07,rest
2025-11-07,lazy
2025-11-07,lazy
2025-11-07,lazy
2025-11-07,lazy
2025-11-07,rest
2025-11-07,rest
2025-11-07,lazy
2025-11-07,great
2025-11-08,lazy
2025-11-08,great
2025-11-08,push
2025-11-08,push
2025-11-09,great
2025-11-11,push
2025-11-13,great
2025-11-14,push
2025-11-16,lazy
2025-11-16,rest
2025-11-16,lazy
2025-11-18,great
2025-11-20,great
2025-11-21,great
2025-11-25,great
2025-11-26,great
2025-11-28,push
2025-12-02,great
2025-12-04,rest
2025-12-04,lazy
2025-12-04,great
2025-12-05,great
2025-12-05,great
2025-12-05,push
2025-12-09,push
2025-12-10,great
2025-12-11,great
2025-12-14,great
2025-12-15,great
2025-12-16,great
2025-12-18,great
2025-12-21,great
2025-12-22,lazy
2025-12-23,great
